name
Lophostemon confertus
Platanus x hispanica
Metrosideros excelsa
Tristaniopsis laurina
Prunus serrulata
Arbutus 'Marina
Prunus cerasifera
Ficus nitida
Magnolia grandiflora
Pittosporum undulatum
Acer platanoides
Acer rubrum
Pyrus calleryana
Platanus _ acerifolia
Tilia cordata
Gleditsia triacanthos
Ginkgo biloba
Liquidambar styraciflua
Quercus rubra
Ulmus americana
Liquidambar styraciflua
Zelkova serrata
Ginkgo biloba
Sassafras albidum
Quercus imbricaria
Ostrya virginiana
Viburnum lentago
Tilia americana
Platanus x acerifolia
Ulmus Patriot
Fraxinus excelsior
Crataegus monogyna
Platanus occidentalis
Salix caprea
Betula pendula
Acer platanoides
Alnus glutinosa
Quercus robur
Prunus avium
Betula pubescens_
Fraxinus pennsylvanica
Acer platanoides
Gleditsia triacanthos
Tilia cordata
Acer saccharinum
Fraxinus americana
Acer saccharum
Malus sp.
Ulmus thomasii
Acer rubrum
Acer platanoides
Acer saccharum
Acer negundo
Fraxinus pennsylvanica
Picea glauca
Acer saccharinum
Ulmus americana
Thuja occidentalis
Pinus nigra
Fraxinus americana
